id,title,year,authors,source,url,research_stream,key_contribution,main_limitation,relevance_to_project_aegis,verification_status
P001,Agentic Trading: When LLM Agents Meet Financial Markets,2026,"Yihan Xia; Panpan You; Taotao Wang; Fang Liu; Han Qi; Xiaoxiao Wu; Shengli Zhang",arXiv,https://arxiv.org/abs/2605.19337,Survey / evaluation / reproducibility,"Reviews 77 LLM trading-agent studies and highlights protocol incomparability, weak transaction-cost reporting, and poor reproducibility.","Survey lens rather than a validated final taxonomy; field still immature.",Core evidence for reproducibility and evaluation gap,verified_arxiv
P004,TradingAgents: Multi-Agents LLM Financial Trading Framework,2024,"Yijia Xiao; Edward Sun; Di Luo; Wei Wang",arXiv,https://arxiv.org/abs/2412.20138,Multi-agent trading,"Models a trading firm with role-specialized agents such as fundamental analyst sentiment analyst technical analyst trader bull/bear researchers and risk managers.","Performance claims require strict reproducibility and transaction-cost review.",Baseline for multi-agent financial workflow,verified_arxiv_abstract
P006,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,2023,"Yangyang Yu; Haohang Li; Zhi Chen; Yuechen Jiang; Yang Li; Denghui Zhang; Rong Liu; Jordan W. Suchow; Khaldoun Khashanah",arXiv,https://arxiv.org/abs/2311.13743,Memory-based agent,"Introduces profiling, layered memory, and decision-making modules for financial trading agents.","Memory is trading-decision focused; broader thesis and macro memory remain underdeveloped.",Supports long-term memory research gap,verified_arxiv
P013,Finance Agent Benchmark: Benchmarking LLMs on Real-world Financial Research Tasks,2025,"Antoine Bigeard; Langston Nashold; Rayan Krishnan; Shirley Wu",arXiv,https://arxiv.org/abs/2508.00828,Benchmark / investment research tasks,"Builds a benchmark of 537 expert-authored finance research questions using SEC filings and an agentic tool harness with Google Search and EDGAR access.","Best model accuracy reported as below 50 percent, showing current limitations; benchmark is still mainly task-answering rather than full portfolio workflow.",Core evidence for real-world finance research task difficulty,verified_arxiv
P014,Evaluation and Benchmarking Suite for Financial Large Language Models and Agents,2026,"Shengyuan Lin; Kaiwen He; Jaisal Patel; Qinchuan Zhang; Chris Ding; James Tang; Keyi Wang; Yupeng Cao; Yan Wang; Kairong Xiao; Vincent Caldeira; Matt White; Xiao-Yang Liu Yanglet",arXiv,https://arxiv.org/abs/2602.19073,Benchmark / governance / platform,"Presents a suite covering the lifecycle of FinLLMs and FinAgents, including evaluation pipeline, governance framework, leaderboard, AgentOps framework, and documentation platform.","Very broad suite; investment-research-specific audit and thesis workflow still need refinement.",Important for evaluation lifecycle and governance framing,verified_arxiv
P016,FinRobot: AI Agent for Equity Research and Valuation with Large Language Models,2024,"Tianyu Zhou; Pinqiao Wang; Yilin Wu; Hongyang Yang",arXiv,https://arxiv.org/abs/2411.08804,Investment research agent / equity research,"Designs an equity research agent with Data-CoT, Concept-CoT, and Thesis-CoT agents for company analysis, valuation, risk assessment, and research report generation.","Needs stronger independent evaluation against professional analyst workflows and audit standards.",Highly relevant to shift from trading agents to investment research agents,verified_arxiv
P022,When AI Meets Finance (StockAgent): Large Language Model-based Stock Trading in Simulated Real-world Environments,2024,"Chong Zhang; Xinyi Liu; Zhongmou Zhang; Mingyu Jin; Lingyao Li; Zhenting Wang; Wenyue Hua; Dong Shu; Suiyuan Zhu; Xiaobo Jin; Sujian Li; Mengnan Du; Yongfeng Zhang",arXiv,https://arxiv.org/abs/2407.18957,Multi-agent trading simulation,"Develops StockAgent, an LLM-based multi-agent system to simulate investor trading behavior in realistic market environments and avoid test-set leakage.","Primarily trading simulation rather than investment research; reproduction and cost assumptions require full-text extraction.",Useful additional multi-agent trading baseline,verified_arxiv_abstract
P023,Evaluating Financial Intelligence in Large Language Models: Benchmarking SuperInvesting AI with LLM Engines,2026,"Akshay Gulati; Kanha Singhania; Tushar Banga; Parth Arora; Anshul Verma; Vaibhav Kumar Singh; Agyapal Digra; Jayant Singh Bisht; Danish Sharma; Varun Singla; Shubh Garg",arXiv,https://arxiv.org/abs/2603.08704,Financial reasoning benchmark,"Introduces AFIB, a multi-dimensional financial intelligence benchmark across factual accuracy, completeness, data recency, consistency, and failure patterns.","Benchmark appears system-comparison oriented and may not be agent-specific; requires verification.",Useful for investment-research task evaluation,verified_arxiv_abstract
P024,StockBench: Can LLM Agents Trade Stocks Profitably In Real-world Markets?,2025,"Yanxu Chen; Zijun Yao; Yantao Liu; Jin Ye; Jianing Yu; Lei Hou; Juanzi Li",arXiv,https://arxiv.org/abs/2510.02209,Trading benchmark,"Introduces a contamination-free benchmark for LLM agents in realistic multi-month stock trading environments with return, drawdown, and Sortino metrics.","Trading benchmark rather than investment research workflow; requires cost and reproducibility extraction.",Useful benchmark for dynamic trading-agent evaluation,verified_arxiv_abstract
P025,FinRpt: Dataset Evaluation System and LLM-based Multi-agent Framework for Equity Research Report Generation,2025,"Song Jin; Shuqi Li; Shukun Zhang; Rui Yan",arXiv,https://arxiv.org/abs/2511.07322,Equity research report generation,"Frames equity research report generation as a task, introduces dataset construction pipeline, 11-metric evaluation system, and multi-agent framework FinRpt-Gen.","Requires full extraction of dataset construction, metrics, and evaluation before use as core evidence.",High-priority candidate for investment research agent category,verified_arxiv_abstract
