paper_id,title,relevance,evidence_strength,reproducibility,auditability,risk_awareness,gap_value,total_score,classification,score_status,evidence_level,uncertainty,short_justification,next_score_action
P001,Agentic Trading: When LLM Agents Meet Financial Markets,4,4,3,3,4,4,22,Core literature,verified_from_arxiv,abstract_plus_known_review_counts,medium,"Strong current evidence for protocol incomparability; arXiv abstract reports 77 included studies, a primary empirical subset of 19, limited transaction-cost reporting, and no R3 reproducibility.",Extract full tables and reproducibility coding scheme before final scoring
P013,Finance Agent Benchmark: Benchmarking LLMs on Real-world Financial Research Tasks,4,4,3,2,2,4,19,Important literature,verified_from_arxiv,abstract_level,medium,"Highly relevant to investment research tasks; arXiv abstract reports 537 expert-authored questions using SEC filings and best model accuracy of 46.8 percent.",Extract task taxonomy scoring protocol and data construction details
P016,FinRobot: AI Agent for Equity Research and Valuation with Large Language Models,4,3,3,2,2,4,18,Important literature,verified_from_arxiv,abstract_level,medium-high,"Directly relevant to equity research agents; arXiv abstract describes Data-CoT, Concept-CoT, and Thesis-CoT agents plus open-source release, but professional workflow evaluation and auditability remain to be verified.",Extract architecture evaluation and evidence-traceability details
P014,Evaluation and Benchmarking Suite for Financial Large Language Models and Agents,4,3,3,2,3,4,19,Important literature,verified_from_arxiv,abstract_level,medium-high,"Relevant to evaluation lifecycle and governance; arXiv abstract describes evaluation pipeline, governance framework, leaderboard, AgentOps, and documentation platform.",Extract benchmark components governance framework and scoring methods
P004,TradingAgents: Multi-Agents LLM Financial Trading Framework,4,3,3,1,2,4,17,Important literature,verified_arxiv_abstract,abstract_level,high,"Important baseline for multi-agent trading workflow, but claims require careful reproduction, transaction-cost checks, and audit review.",Extract experimental setup transaction costs slippage prompts and repo reproducibility
P006,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,3,3,2,1,1,4,14,Supporting literature,verified_arxiv_abstract,abstract_level,high,"Important for memory-based financial agents, but mainly trading-decision focused and not a full investment thesis workflow.",Extract memory layers update rules evaluation and stale-memory risks
P005,FinRobot: An Open-Source AI Agent Platform for Financial Applications using Large Language Models,3,3,3,2,2,3,16,Important literature,needs_reverification,partial_metadata,high,"Useful open-source financial agent infrastructure; formal evaluation and audit standards remain underdeveloped.",Reverify metadata and extract platform architecture
P018,BloombergGPT: A Large Language Model for Finance,2,4,1,0,0,2,9,Background literature,needs_reverification,partial_metadata,high,"Important finance-domain LLM baseline, but proprietary data/model reduces external reproducibility and it is not an agent system.",Reverify metadata and decide whether to keep as background only
P017,FinGPT: Open-Source Financial Large Language Models,2,3,3,0,0,2,10,Supporting literature,needs_reverification,partial_metadata,high,"Important open-source finance LLM infrastructure, but not by itself an investment research agent framework.",Reverify metadata and separate FinGPT ecosystem papers
P019,From Deep Learning to LLMs: A survey of AI in Quantitative Investment,3,3,2,1,2,3,14,Supporting literature,needs_reverification,partial_metadata,high,"Useful positioning within the quantitative investment pipeline; auditability and investment-research-agent workflow are not the main contribution.",Reverify metadata and extract survey taxonomy

# Warning
# These are research-triage scores, not final publication-ready scores. Current scores are mostly based on abstract-level extraction and must be re-scored after full-text section/table/figure extraction.
