item_id,item_type,source_label,priority,extraction_status,why_it_matters,project_aegis_use,next_action
P001-FIG-01,figure,Figure 1 Agency Spectrum of Trading Systems,high,extracted_v0.1,Defines boundary from prediction models to trading agents,Useful for distinguishing trading agents from investment research agents,Verify against original figure during final full-text pass
P001-FIG-02,figure,Figure 2 Reasoning Flow Diagram,high,extracted_v0.1,Shows agent reasoning and feedback loop,Useful for designing Project Aegis research-agent pipeline,Verify against original figure during final full-text pass
P001-FIG-03,figure,A-C-A or architecture figures,medium,pending,Shows architecture capability adaptation lens,Useful but should not be treated as validated taxonomy,Locate and extract relevant figure
P001-FIG-04,figure,Challenge or future direction figures,medium,pending,May identify research gaps,Useful for research gap map,Locate and extract relevant figure
P001-TAB-01,table,Table 1 Related surveys and benchmarks,high,extracted_v0.1,Positions P001 against prior reviews,Supports novelty of audit-oriented review,Verify comparison entries during final full-text pass
P001-TAB-03,table,Table 3 Study selection summary,high,extracted_v0.1,Provides 92 candidate records 77 included 19 primary 58 background,Supports evidence scope and PRISMA-style counts,Verify full table and notes during final full-text pass
P001-TAB-PROTOCOL,table,Protocol reporting tables,high,extracted_high_level_v0.1,Direct evidence for split cost survivorship execution reporting gaps,Supports reproducibility-gap claim,Verify exact table number and per-study protocol entries
P001-TAB-REPRO,table,Reproducibility tier tables,high,extracted_high_level_counts_v0.1,Direct evidence for R0-R3 reproducibility claim,Supports auditability and reproducibility claims,Extract exact R0-R3 definitions and table number
P001-TAB-LEDGER,table,Evidence ledger tables,high,pending,Identifies primary subset and background tier,Supports claim-evidence ledger,Extract per-study classifications
P001-TAB-CHECKLIST,table,Reporting checklist tables,medium,derived_checklist_v0.1_pending_source_verification,Translates gaps into reporting expectations,Useful for Project Aegis methodology design,Verify whether checklist is explicit in P001 or derived from protocol gaps
P001-SECTION-02,section,Review Protocol and Evidence Scope,high,partial,Defines evidence boundary and denominators,Use to refine Project Aegis systematic review boundary,Complete section notes
P001-SECTION-13,section,Challenges and Future Directions,high,pending,Likely contains future research gaps,Use to update Research Gap Map,Extract full section
P001-APP-S1,appendix,Supplementary screening log,medium,pending,Supports screening quality audit,Useful for reproducible review design,Check availability and extract if accessible
P001-APP-S3,appendix,Extraction-level audit,medium,pending,Supports coding reliability claim,Useful for coding protocol design,Check availability and extract if accessible
