id,title,year,authors,source,url,research_stream,key_contribution,main_limitation,relevance_to_project_aegis
P001,Agentic Trading: When LLM Agents Meet Financial Markets,2026,"Yihan Xia; Panpan You; Taotao Wang; Fang Liu; Han Qi; Xiaoxiao Wu; Shengli Zhang",arXiv,https://arxiv.org/abs/2605.19337,Survey / evaluation / reproducibility,"Reviews 77 LLM trading-agent studies and highlights protocol incomparability, weak transaction-cost reporting, and poor reproducibility.","Survey lens rather than a validated final taxonomy; field still immature.",Core evidence for reproducibility and evaluation gap
P002,AI Agents in Financial Markets: Architecture Applications and Systemic Implications,2026,Hui Gong,arXiv,https://arxiv.org/abs/2603.13942,Architecture / systemic risk,"Proposes a four-layer architecture and Agentic Financial Market Model linking agent design to market outcomes.","More conceptual and systemic than implementation-driven.",Supports trust and governance framing
P003,When Agents Trade: Live Multi-Market Trading Benchmark for LLM Agents,2025,"Lingfei Qian et al.",arXiv,https://arxiv.org/abs/2510.11695,Benchmark,"Introduces Agent Market Arena as a lifelong real-time benchmark across markets and agent architectures.","Still early; benchmark coverage and real-world frictions need further validation.",Supports benchmark and continuous evaluation gap
P004,TradingAgents: Multi-Agents LLM Financial Trading Framework,2024,"Tauric Research / project authors",arXiv,https://arxiv.org/abs/2412.20138,Multi-agent trading,"Models a trading firm with role-specialized agents such as fundamental sentiment technical risk and trader roles.","Performance claims require strict reproducibility and transaction-cost review.",Baseline for multi-agent financial workflow
P005,FinRobot: An Open-Source AI Agent Platform for Financial Applications,2024,"FinRobot authors",arXiv,https://arxiv.org/abs/2405.14767,Open-source platform,"Provides an open-source platform for financial AI agents, including financial analysis and decision support workflows.","Platform contribution more than formal evaluation theory.",Useful infrastructure reference
P006,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,2023,"FinMem authors",arXiv,https://arxiv.org/abs/2311.13743,Memory-based agent,"Introduces layered memory and character design for LLM trading agents.","Memory is trading-decision focused; broader thesis and macro memory remain underdeveloped.",Supports long-term memory research gap
P007,Large Language Model Agents for Investment Management,2025,"Paper authors",SSRN / ACM related source,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5447274,Investment management agents,"Frames LLM agents for investment management and trading workflows.","Needs deeper reproducibility and implementation comparison.",Supports transition from trading agents to investment research agents
P008,Large Language Model Agents in Finance: A Survey,2025,"Survey authors",ACL Anthology,https://aclanthology.org/2025.findings-emnlp.972.pdf,Survey,"Covers data analysis investment research trading investment management and risk management.","Broad survey; opportunity remains for investment research-specific gap map.",Literature positioning
P009,Large Language Models in Equity Markets,2025,"Article authors",Frontiers,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1608365/full,Equity market survey,"Reviews LLM applications in equity-market analysis including news financial statements sentiment and prediction.","Equity-task focused; less emphasis on full agentic research workflow.",Baseline for equity market literature
P010,A Risk-First Evaluation Framework for Multi-Agent LLM Systems in Financial Markets,2026,"Paper authors",ACL Anthology,https://aclanthology.org/2026.findings-acl.1934.pdf,Risk evaluation,"Argues that multi-agent financial systems need risk-first evaluation beyond return and accuracy.","New framework; needs investment-workflow-specific extension.",Core support for risk-first evaluation
P011,Evaluating LLMs in Finance Requires Explicit Bias Assessment,2026,"Paper authors",arXiv,https://arxiv.org/abs/2602.14233,Bias / evaluation,"Reviews finance LLM work and argues that explicit bias assessment is necessary.","Bias discussion must be connected to actual investment-agent workflow.",Supports bias-aware auditability
P012,ESMA / Alan Turing / ILB LLMs in Finance Report,2025,"ESMA; Alan Turing Institute; ILB",Regulatory report,https://www.esma.europa.eu/sites/default/files/2025-06/LLMs_in_finance_-_ILB_ESMA_Turing_Report.pdf,Governance / regulation,"Discusses responsible adoption of LLMs in finance.","Policy report rather than agent architecture paper.",Supports regulatory alignment gap
