item_id,item_type,source_label,priority,extraction_status,why_it_matters,project_aegis_use,next_action
P025-META-01,metadata,arXiv metadata and bibliographic record,high,source_and_external_resources_partially_verified,Confirms identity and source of P025,Prevents metadata uncertainty,Verify exact license chain and arXiv/PDF table references
P025-DATA-01,dataset,dataset name and construction,high,extracted_v0.1,Dataset determines benchmark validity,Needed to judge whether report generation task is robust,Reconcile 6825 paper samples with Hugging Face about 13.6k viewer rows
P025-DATA-02,dataset,source documents and company universe,high,extracted_v0.1,Source universe determines realism and bias,Needed for evidence/version control design,Verify upstream source rights for news announcements and report content
P025-DATA-03,dataset,input-output format,high,extracted_v0.1,Defines task structure,Needed to map to investment research artifact workflow,Extract examples from appendix if permitted
P025-METRIC-01,evaluation,exact evaluation metrics,high,extracted_v0.1,Metrics define what report quality means,Needed for Project Aegis evaluation rubric,Extract Appendix Table 5 quantitative LLM evaluation if available
P025-METRIC-02,evaluation,factuality and evidence grounding metrics,high,partially_extracted_not_established,Most important for trustworthy research reports,Needed for auditability claim,Verify whether claim-level grounding citation correctness or hallucination metrics exist
P025-METRIC-03,evaluation,human evaluation design,high,extracted_v0.1,Human judgment matters for research usefulness,Needed for supervisor/reviewer credibility,Verify blinding instructions and detailed rubric in appendix
P025-ARCH-01,architecture,multi-agent framework overview,high,extracted_v0.1,Architecture determines agentic relevance,Needed to classify P025 as investment research agent candidate,Extract Figure 3 architecture visually
P025-ARCH-02,architecture,agent roles and responsibilities,high,extracted_v0.1,Role specialization supports agent category,Needed to compare with P016,Verify prompt examples for all nine agents
P025-ARCH-03,architecture,retrieval and source grounding mechanism,high,partially_extracted_not_claim_level,Grounding determines auditability,Needed for Project Aegis evidence trail design,Check final report cases for citations or source references
P025-BASE-01,evaluation,baseline systems and model backbones,medium,extracted_v0.1,Baselines determine strength of evidence,Needed for quality scoring,Extract detailed baseline appendix
P025-ERROR-01,evaluation,error analysis hallucination unsupported claims,high,pending,Error analysis determines reliability,Needed for trustworthy AI claims,Extract error analysis or mark absent after full pass
P025-REPRO-01,reproducibility,code data prompt and report output availability,high,public_code_dataset_partially_verified_license_chain_pending,Reproducibility determines evidence strength,Needed for reproducibility scoring,Inspect repo tree requirements scripts dataset card and prompt/output completeness
P025-LIMIT-01,limitations,limitations and threats to validity,medium,pending,Prevents overclaiming,Needed for balanced review,Extract limitations section and threats to validity
P025-COMP-01,comparison,comparison with P016 FinRobot,medium,updated_v0.1,Clarifies contribution boundary,Needed for taxonomy and literature review,Create dedicated P016-P025 comparison file after P016 deeper extraction
