paper_id,title,extraction_file,metadata_status,abstract_level_extraction,full_text_section_extraction,table_extraction,figure_extraction,method_extraction,evaluation_extraction,limitation_extraction,next_action,overall_status
P001,Agentic Trading: When LLM Agents Meet Financial Markets,03-Full-Extraction/P001-Agentic-Trading-Full-Text-Extraction-v0.2.md,verified_arxiv,yes,section_level_scaffold,no,no,partial,partial,partial,Extract all 27 tables and 15 figures using P001 table/figure tracker,section_level_scaffold_tables_figures_pending
P004,TradingAgents: Multi-Agents LLM Financial Trading Framework,03-Full-Extraction/P004-TradingAgents-Extraction-v0.1.md,verified_arxiv,yes,no,no,no,partial,partial,partial,Extract architecture experiment setup costs and reproducibility artifacts,abstract_level_plus_interpretation
P006,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,03-Full-Extraction/P006-FinMem-Extraction-v0.1.md,verified_arxiv,yes,no,no,no,partial,partial,partial,Extract memory architecture and evaluation details,abstract_level_plus_interpretation
P013,Finance Agent Benchmark: Benchmarking LLMs on Real-world Financial Research Tasks,03-Full-Extraction/P013-Finance-Agent-Benchmark-Extraction-v0.1.md,verified_arxiv,yes,no,no,no,partial,partial,partial,Extract benchmark taxonomy scoring protocol and task examples,abstract_level_plus_interpretation
P014,Evaluation and Benchmarking Suite for Financial Large Language Models and Agents,03-Full-Extraction/P014-Evaluation-Benchmarking-Suite-Extraction-v0.1.md,verified_arxiv,yes,no,no,no,partial,partial,partial,Extract benchmark components governance framework and AgentOps details,abstract_level_plus_interpretation
P016,FinRobot: AI Agent for Equity Research and Valuation with Large Language Models,03-Full-Extraction/P016-FinRobot-Equity-Research-Extraction-v0.1.md,verified_arxiv,yes,no,no,no,partial,partial,partial,Extract architecture evaluation report-generation and evidence-traceability details,abstract_level_plus_interpretation
P025,FinRpt: Dataset Evaluation System and LLM-based Multi-agent Framework for Equity Research Report Generation,03-Full-Extraction/P025-FinRpt-Extraction-v0.1.md,verified_arxiv_abstract,yes,no,no,no,partial,partial,partial,Extract dataset evaluation metrics architecture and report-grounding details,abstract_level_plus_interpretation

# Note
# Current extraction files remain incomplete full-text extractions unless table_extraction and figure_extraction are completed. P001 has been upgraded to a section-level scaffold with verified source anchors, but its table and figure extraction are still pending.
