paper_id,title,research_stream,agent_type,financial_task,memory,multi_agent,tool_use,risk_module,benchmark_or_evaluation,transaction_cost,open_source,audit_trail,governance_focus,core_gap_revealed
P001,Agentic Trading: When LLM Agents Meet Financial Markets,Survey / evaluation / reproducibility,N/A,Trading agent literature review,Partial,N/A,N/A,Yes,Yes,Evaluates reporting across studies,N/A,Yes,Partial,Comparable evaluation protocols and reproducibility are weak
P002,AI Agents in Financial Markets,Architecture / systemic risk,Conceptual agent architecture,Financial markets and systemic risk,Conceptual,Conceptual,Conceptual,Yes,Conceptual,N/A,N/A,Partial,Yes,Systemic implications of agent deployment remain underdeveloped
P003,When Agents Trade: Live Multi-Market Trading Benchmark for LLM Agents,Benchmark / live evaluation,Multiple trading agents,Stock and crypto trading,Yes,Some,Yes,Some,Yes,Implicit / to verify,Partial,Partial,Partial,Need continuous live benchmark across assets and regimes
P004,TradingAgents,Multi-agent trading,Multi-agent,Stock trading,Yes,Yes,Yes,Yes,Yes,Needs independent verification,Yes,Weak,Weak,Multi-agent performance needs reproducibility and cost-aware evaluation
P005,FinRobot Platform,Open-source platform,Multi-agent / platform,Financial analysis,Partial,Yes,Yes,Partial,Partial,N/A,Yes,Partial,Weak,Open platforms still need formal evaluation and audit standards
P006,FinMem,Memory-based agent,Single agent with memory,Stock trading,Yes,No,Partial,Weak,Yes,Needs verification,Partial,Partial,Weak,Financial memory beyond trading decisions is underdeveloped
P013,Finance Agent Benchmark,Benchmark / investment research tasks,Agentic harness,SEC filings and finance research tasks,No,No,Yes,No,Yes,N/A,Unknown,Partial,Weak,Real-world finance research tasks remain difficult for current LLM agents
P014,Evaluation and Benchmarking Suite,Benchmark / governance / platform,FinLLM and FinAgent lifecycle,Financial LLMs and agents,Partial,Partial,Yes,Yes,Yes,N/A,Partial,Partial,Yes,Need lifecycle-level evaluation and governance standards
P015,HedgeAgents,Multi-agent trading / hedging,Multi-agent hedging system,Multi-asset trading / hedging,Partial,Yes,Yes,Yes,Yes,Needs independent verification,Unknown,Weak,Weak,High-return claims require robust reproduction and stress testing
P016,FinRobot Equity Research,Investment research agent,Multi-agent equity research,Equity research valuation thesis generation,Partial,Yes,Yes,Yes,Partial,N/A,Yes,Partial,Weak,Investment thesis workflow needs stronger audit and professional evaluation
P017,FinGPT,Financial LLM / open-source foundation,Foundation model / infrastructure,Financial NLP and downstream tasks,N/A,N/A,N/A,N/A,Partial,N/A,Yes,N/A,Weak,Financial LLM infrastructure does not equal trustworthy agent workflow
P018,BloombergGPT,Financial LLM / proprietary domain model,Foundation model,Financial NLP tasks,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,Weak,Proprietary data improves capability but limits external reproducibility
P019,From Deep Learning to LLMs,Survey / quantitative investment,N/A,Quantitative investment pipeline,Conceptual,Conceptual,Conceptual,Partial,Survey,N/A,N/A,N/A,Weak,LLM agents extend quant pipeline but auditability remains unresolved
P020,Large Language Models in Finance Survey,Survey / financial LLMs,N/A,Financial LLM adoption,N/A,N/A,N/A,Partial,Survey,N/A,N/A,N/A,Partial,Financial LLM use cases need practical adoption frameworks
P021,Large Language Model Agent Survey,General LLM agent survey,N/A,General agent methodology,Yes,Yes,Yes,Partial,Survey,N/A,N/A,Partial,Partial,General agent taxonomy must be adapted to finance-specific risks
