record_id,search_round,paper_id,title,year,authors,source,url,screening_decision,primary_label,secondary_label,reason_for_inclusion_or_exclusion,verification_status,next_action
SR02A-R001,Search-Round-02A,P022,When AI Meets Finance (StockAgent): Large Language Model-based Stock Trading in Simulated Real-world Environments,2024,"Chong Zhang; Xinyi Liu; Zhongmou Zhang; Mingyu Jin; Lingyao Li; Zhenting Wang; Wenyue Hua; Dong Shu; Suiyuan Zhu; Xiaobo Jin; Sujian Li; Mengnan Du; Yongfeng Zhang",arXiv,https://arxiv.org/abs/2407.18957,include_candidate,trading_agent,multi_agent_simulation,"Relevant LLM-based multi-agent stock trading simulation with real-world market environment framing and open-source code claim.",verified_arxiv_abstract,Add to Paper-Database-v0.2 and consider future extraction
SR02A-R002,Search-Round-02A,P023,Evaluating Financial Intelligence in Large Language Models: Benchmarking SuperInvesting AI with LLM Engines,2026,"Akshay Gulati; Kanha Singhania; Tushar Banga; Parth Arora; Anshul Verma; Vaibhav Kumar Singh; Agyapal Digra; Jayant Singh Bisht; Danish Sharma; Varun Singla; Shubh Garg",arXiv,https://arxiv.org/abs/2603.08704,include_candidate,benchmark_evaluation_framework,investment_research_tasks,"Relevant benchmark for financial reasoning and equity-research style questions; not necessarily an agent system.",verified_arxiv_abstract,Add as benchmark/evaluation candidate
SR02A-R003,Search-Round-02A,P024,StockBench: Can LLM Agents Trade Stocks Profitably In Real-world Markets?,2025,"Yanxu Chen; Zijun Yao; Yantao Liu; Jin Ye; Jianing Yu; Lei Hou; Juanzi Li",arXiv,https://arxiv.org/abs/2510.02209,include_candidate,trading_agent,benchmark_evaluation_framework,"Relevant contamination-free benchmark for LLM agents in multi-month stock trading environments with financial metrics.",verified_arxiv_abstract,Add as trading benchmark candidate
SR02A-R004,Search-Round-02A,P025,FinRpt: Dataset Evaluation System and LLM-based Multi-agent Framework for Equity Research Report Generation,2025,"Song Jin; Shuqi Li; Shukun Zhang; Rui Yan",arXiv,https://arxiv.org/abs/2511.07322,include_candidate,equity_research_agent,benchmark_evaluation_framework,"Highly relevant to investment research agent definition because it targets equity research report generation and multi-agent framework.",verified_arxiv_abstract,High-priority extraction candidate
SR02A-R005,Search-Round-02A,P026,TrustTrade: Human-Inspired Selective Consensus Reduces Decision Uncertainty in LLM Trading Agents,2026,"Minghan Li; Rachel Gonsalves; Weiyue Li; Sunghoon Yoon; Mengyu Wang",arXiv,https://arxiv.org/abs/2603.22567,include_candidate,trading_agent,risk_aware_agent,"Relevant to trust, misinformation, selective consensus, reflective memory, and risk-aware trading behavior.",verified_arxiv_abstract,Add to risk/auditability candidate set
SR02A-R006,Search-Round-02A,P027,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,2023,"Yang Li; Yangyang Yu; Haohang Li; Zhi Chen; Khaldoun Khashanah",arXiv,https://arxiv.org/abs/2309.03736,include_candidate,trading_agent,memory_agent,"Relevant early multi-agent memory-based financial trading paper related to FinMem lineage.",verified_arxiv_abstract,Add as memory/trading baseline candidate
SR02A-R007,Search-Round-02A,P013,Finance Agent Benchmark: Benchmarking LLMs on Real-world Financial Research Tasks,2025,"Antoine Bigeard; Langston Nashold; Rayan Krishnan; Shirley Wu",arXiv,https://arxiv.org/abs/2508.00828,duplicate_existing,benchmark_evaluation_framework,investment_research_tasks,"Already included as P013; surfaced again in Search-Round-02A.",verified_arxiv,no_new_action
SR02A-R008,Search-Round-02A,P006,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,2023,"Yangyang Yu; Haohang Li; Zhi Chen; Yuechen Jiang; Yang Li; Denghui Zhang; Rong Liu; Jordan W. Suchow; Khaldoun Khashanah",arXiv,https://arxiv.org/abs/2311.13743,duplicate_existing,trading_agent,memory_agent,"Already included as P006; surfaced again in Search-Round-02A.",verified_arxiv,no_new_action

# Note
# This screening file captures the records surfaced in a pilot arXiv-focused Search-Round-02A. It does not yet meet the full Search-Round-02 protocol requirement of exact source result counts and 50+ screened records.
